ID,averageAge,sex,averageTime,averageRank,weightedAppearance,yearsOfParticipation,yearsSinceLastParticipation
1,30.0,1,15300.0,1263.0,4,1,1
2,60.0,1,18342.0,2289.0,4,1,1
3,30.0,0,18274.0,2276.0,4,1,1
4,35.0,1,16393.0,1530.0,8,2,1
5,37.0,0,19799.0,2599.0,26,9,1
6,45.0,1,16943.0,1845.0,4,1,1
7,41.0,1,13823.0,602.0,8,2,1
8,30.0,0,14354.0,912.0,4,1,1
9,50.0,1,17110.0,1890.0,15,4,1
10,25.0,1,17173.0,1934.0,4,1,1
11,40.0,0,19568.0,2562.0,12,3,1
12,25.0,0,14009.0,771.0,8,2,1
13,30.0,1,10713.0,21.0,4,1,1
14,25.0,0,14392.0,934.0,4,1,1
15,37.0,1,18378.0,2391.0,16,5,1
16,44.0,1,15197.0,1202.0,20,6,1
17,50.0,1,14314.0,886.0,4,1,1
18,50.0,1,19480.0,1930.0,8,2,1
19,25.0,0,19381.0,2530.0,4,1,1
20,30.0,0,11067.0,55.0,4,1,1
21,40.0,1,14548.0,993.0,4,1,1
22,44.0,0,15209.0,1374.0,7,2,1
23,25.0,0,15283.0,1205.0,8,2,1
24,30.0,0,13486.0,552.0,4,1,1
25,50.0,1,14095.0,790.0,4,1,1
26,35.0,1,16447.0,1670.0,4,1,1
27,40.0,0,15427.0,1302.0,4,1,1
28,30.0,0,19169.0,2478.0,4,1,1
29,30.0,1,18993.0,2429.0,4,1,1
30,45.0,1,19901.0,2647.0,4,1,1
31,45.0,1,12883.0,342.0,8,2,1
32,35.0,1,19913.0,2340.0,7,2,1
33,30.0,0,14430.0,949.0,4,1,1
34,45.0,1,20820.0,2763.0,4,1,1
35,45.0,1,12720.0,326.0,4,1,1
36,55.0,1,19427.0,2537.0,4,1,1
37,45.0,1,16076.0,1475.0,8,2,1
38,50.0,1,12930.0,375.0,4,1,1
39,40.0,1,14583.0,1005.0,4,1,1
40,44.0,1,9375.0,522.0,8,2,1
41,36.0,0,17295.0,1999.0,8,2,1
42,35.0,1,12130.0,182.0,4,1,1
43,35.0,1,14082.0,782.0,4,1,1
44,40.0,1,15746.0,1399.0,4,1,1
45,44.0,1,17680.0,2077.0,12,3,1
46,43.0,1,15504.0,1325.0,8,2,1
47,20.0,1,20278.0,2697.0,4,1,1
48,30.0,1,17499.0,2049.0,4,1,1
49,35.0,1,12888.0,367.0,4,1,1
50,35.0,1,13757.0,641.0,8,2,1
51,52.0,1,20622.0,2597.0,8,2,1
52,40.0,1,12342.0,221.0,4,1,1
53,49.0,1,21495.0,3051.0,8,2,1
54,45.0,0,17225.0,1954.0,4,1,1
55,39.0,1,10404.0,21.0,7,2,1
56,40.0,1,13740.0,649.0,4,1,1
57,36.0,1,16008.0,1591.0,7,2,1
58,55.0,0,15715.0,1388.0,4,1,1
59,40.0,0,15115.0,1191.0,4,1,1
60,25.0,0,17994.0,2205.0,4,1,1
61,45.0,0,22693.0,2933.0,4,1,1
62,45.0,1,14345.0,908.0,4,1,1
63,38.0,0,16657.0,1755.0,15,5,1
64,44.0,1,12809.0,337.0,8,2,1
65,35.0,0,14029.0,758.0,4,1,1
66,36.0,0,13956.0,592.0,16,5,1
67,45.0,1,16998.0,1855.0,12,3,1
68,42.0,1,14804.0,1028.0,16,6,1
69,45.0,1,11069.0,56.0,4,1,1
70,54.0,1,13780.0,1557.0,19,5,1
71,15.0,1,14220.0,842.0,4,1,1
72,40.0,1,18882.0,2401.0,4,1,1
73,40.0,1,15294.0,1259.0,4,1,1
74,43.0,0,16783.0,1909.0,11,3,1
75,20.0,0,20974.0,2789.0,4,1,1
76,35.0,1,14402.0,942.0,4,1,1
77,25.0,0,13258.0,472.0,4,1,1
78,40.0,0,18199.0,2256.0,4,1,1
79,50.0,1,16291.0,1613.0,4,1,1
80,30.0,1,18344.0,2291.0,4,1,1
81,50.0,1,11787.0,126.0,4,1,1
82,40.0,1,18085.0,2226.0,4,1,1
83,35.0,1,12407.0,238.0,4,1,1
84,65.0,1,20638.0,2743.0,4,1,1
85,35.0,1,14151.0,813.0,4,1,1
86,40.0,1,16679.0,1753.0,4,1,1
87,19.0,1,15007.0,3235.0,8,2,1
88,35.0,0,15061.0,1173.0,4,1,1
89,35.0,1,17040.0,1884.0,4,1,1
90,34.0,1,8943.0,1372.0,8,2,1
91,35.0,1,18498.0,2327.0,4,1,1
92,33.0,1,12492.0,1674.0,13,4,1
93,40.0,1,17019.0,1877.0,4,1,1
94,43.0,1,15795.0,1424.0,24,7,1
95,25.0,0,22497.0,2921.0,4,1,1
96,40.0,1,8696.0,1.0,4,1,1
97,55.0,1,16925.0,1842.0,4,1,1
98,34.0,1,15501.0,1145.0,14,5,1
99,30.0,1,16033.0,1514.0,4,1,1
100,35.0,0,16430.0,1660.0,4,1,1
101,30.0,0,21699.0,2855.0,4,1,1
102,45.0,1,16711.0,1763.0,4,1,1
103,35.0,1,15134.0,1203.0,4,1,1
104,30.0,1,16237.0,1596.0,4,1,1
105,50.0,1,14186.0,743.0,12,3,1
106,45.0,1,19116.0,2469.0,4,1,1
107,49.0,1,18143.0,2533.0,7,2,1
108,30.0,1,16056.0,1521.0,4,1,1
109,30.0,1,10270.0,1370.0,8,2,1
110,40.0,1,17638.0,2032.0,8,2,1
111,45.0,0,20831.0,2766.0,4,1,1
112,25.0,0,17050.0,1851.0,8,2,1
113,30.0,0,15470.0,1315.0,4,1,1
114,35.0,1,12667.0,316.0,4,1,1
115,55.0,1,15769.0,1406.0,4,1,1
116,25.0,0,15726.0,1393.0,4,1,1
117,45.0,1,12067.0,174.0,4,1,1
118,35.0,1,14671.0,1029.0,4,1,1
119,30.0,1,12582.0,284.0,4,1,1
120,40.0,1,17076.0,1899.0,4,1,1
121,40.0,0,14682.0,1031.0,4,1,1
122,15.0,0,16739.0,1773.0,4,1,1
123,41.0,1,13518.0,467.0,15,5,1
124,30.0,0,14230.0,849.0,4,1,1
125,15.0,1,18599.0,2348.0,4,1,1
126,30.0,1,14399.0,940.0,4,1,1
127,35.0,1,13275.0,477.0,4,1,1
128,45.0,0,17073.0,1898.0,4,1,1
129,25.0,1,20505.0,2727.0,4,1,1
130,50.0,1,16020.0,1508.0,4,1,1
131,55.0,0,22184.0,2906.0,4,1,1
132,32.0,0,18248.0,2170.0,8,2,1
133,55.0,1,18072.0,2140.0,8,2,1
134,32.0,1,14266.0,825.0,8,2,1
135,50.0,1,15596.0,1330.0,8,2,1
136,45.0,1,16125.0,1558.0,4,1,1
137,34.0,0,15875.0,1661.0,7,2,1
138,50.0,0,16320.0,1531.0,12,3,1
139,40.0,0,13615.0,599.0,4,1,1
140,40.0,1,14169.0,823.0,4,1,1
141,28.0,0,19281.0,2320.0,15,4,1
142,34.0,1,12286.0,175.0,8,2,1
143,40.0,0,14026.0,757.0,4,1,1
144,39.0,1,16288.0,1578.0,12,3,1
145,42.0,0,17185.0,2092.0,13,4,1
146,35.0,0,18688.0,2365.0,4,1,1
147,20.0,1,18334.0,2288.0,4,1,1
148,30.0,1,12593.0,287.0,4,1,1
149,20.0,0,18601.0,2351.0,4,1,1
150,25.0,0,22768.0,2937.0,4,1,1
151,49.0,1,15670.0,1438.0,17,5,1
152,40.0,1,16147.0,1565.0,4,1,1
153,30.0,1,17822.0,2148.0,4,1,1
154,35.0,0,17360.0,1914.0,8,2,1
155,25.0,0,13117.0,430.0,4,1,1
156,40.0,0,16865.0,1820.0,4,1,1
157,35.0,1,11634.0,107.0,4,1,1
158,43.0,1,16291.0,1646.0,14,4,1
159,50.0,1,17775.0,2134.0,4,1,1
160,45.0,1,14634.0,1018.0,4,1,1
161,35.0,1,18895.0,2408.0,4,1,1
162,30.0,0,13550.0,576.0,4,1,1
163,57.0,1,17653.0,2047.0,23,7,1
164,45.0,1,15101.0,1188.0,4,1,1
165,50.0,1,16690.0,1744.0,12,3,1
166,50.0,1,13617.0,601.0,4,1,1
167,35.0,0,22166.0,2901.0,4,1,1
168,39.0,0,16868.0,1811.0,8,2,1
169,45.0,0,13182.0,422.0,8,2,1
170,45.0,1,21087.0,2571.0,8,2,1
171,25.0,0,14013.0,746.0,4,1,1
172,50.0,1,14142.0,809.0,4,1,1
173,30.0,1,12611.0,294.0,4,1,1
174,35.0,0,18524.0,2331.0,4,1,1
175,25.0,0,22504.0,2923.0,4,1,1
176,50.0,1,12640.0,304.0,4,1,1
177,27.0,1,12677.0,284.0,17,5,1
178,35.0,1,10772.0,30.0,8,2,1
179,35.0,1,14419.0,946.0,4,1,1
180,40.0,0,22965.0,3186.0,15,4,1
181,55.0,1,13996.0,736.0,4,1,1
182,30.0,0,14790.0,1065.0,4,1,1
183,45.0,1,14323.0,891.0,4,1,1
184,35.0,1,18317.0,2283.0,4,1,1
185,35.0,0,17402.0,2020.0,4,1,1
186,35.0,0,21276.0,2822.0,4,1,1
187,50.0,0,17095.0,1907.0,4,1,1
188,35.0,1,17140.0,1925.0,4,1,1
189,45.0,1,15897.0,1448.0,4,1,1
190,50.0,1,13556.0,582.0,4,1,1
191,40.0,1,13547.0,572.0,4,1,1
192,35.0,0,16117.0,1555.0,4,1,1
193,36.0,1,13504.0,466.0,5,2,1
194,49.0,1,10222.0,1221.0,8,2,1
195,50.0,1,19293.0,2486.0,16,4,1
196,40.0,1,16096.0,1487.0,12,3,1
