ID,2017_FinishTime
1,04:14:59
2,05:05:45
3,05:04:32
4,04:34:18
5,05:30:04
6,04:42:24
7,03:50:02
8,03:59:12
9,04:46:25
10,04:46:12
11,05:25:16
12,03:53:15
13,02:58:32
14,03:59:49
15,05:06:27
16,04:13:08
17,03:58:36
18,05:26:55
19,05:22:59
20,03:04:25
21,04:02:28
22,04:13:24
23,04:15:00
24,03:44:44
25,03:54:57
26,04:34:07
27,04:17:06
28,05:19:27
29,05:16:32
30,05:31:42
31,03:34:40
32,05:33:47
33,04:00:28
34,05:47:01
35,03:32:01
36,05:23:49
37,04:27:25
38,03:35:32
39,04:03:03
40,03:43:17
41,04:47:48
42,03:22:10
43,03:54:42
44,04:22:26
45,04:54:08
46,04:17:28
47,05:37:56
48,04:51:38
49,03:34:48
50,03:49:29
51,05:44:12
52,03:25:42
53,05:57:34
54,04:47:05
55,02:53:32
56,03:49:00
57,04:27:10
58,04:21:56
59,04:11:54
60,04:59:51
61,06:18:13
62,03:59:06
63,04:37:05
64,03:32:59
65,03:53:48
66,03:52:43
67,04:42:44
68,04:06:38
69,03:04:30
70,04:21:05
71,03:56:57
72,05:14:42
73,04:14:54
74,04:39:29
75,05:49:31
76,04:00:02
77,03:40:55
78,05:03:18
79,04:31:33
80,05:05:43
81,03:16:28
82,05:01:25
83,03:26:47
84,05:44:02
85,03:55:51
86,04:37:59
87,05:31:03
88,04:11:00
89,04:44:00
90,03:44:58
91,05:08:18
92,04:41:13
93,04:43:39
94,04:24:02
95,06:14:55
96,02:24:56
97,04:42:07
98,04:17:05
99,04:27:12
100,04:33:49
101,06:01:37
102,04:38:32
103,04:12:14
104,04:30:36
105,03:56:32
106,05:18:37
107,05:01:55
108,04:27:35
109,04:05:36
110,04:54:07
111,05:47:11
112,04:44:28
113,04:17:48
114,03:31:07
115,04:22:51
116,04:22:03
117,03:21:08
118,04:04:31
119,03:29:41
120,04:44:36
121,04:04:41
122,04:38:55
123,03:45:38
124,03:57:08
125,05:09:57
126,03:59:58
127,03:41:15
128,04:44:33
129,05:41:44
130,04:27:02
131,06:09:45
132,05:03:59
133,05:01:10
134,03:57:40
135,04:19:49
136,04:28:46
137,04:24:19
138,04:31:40
139,03:46:54
140,03:56:09
141,05:20:44
142,03:24:44
143,03:53:45
144,04:31:25
145,04:46:37
146,05:11:27
147,05:05:32
148,03:29:52
149,05:09:58
150,06:19:26
151,04:21:06
152,04:29:07
153,04:57:01
154,04:49:03
155,03:38:34
156,04:41:04
157,03:13:54
158,04:31:05
159,04:56:17
160,04:03:55
161,05:14:55
162,03:45:48
163,04:54:34
164,04:11:42
165,04:37:53
166,03:46:59
167,06:09:25
168,04:41:02
169,03:39:45
170,05:50:37
171,03:53:30
172,03:55:44
173,03:30:10
174,05:08:43
175,06:15:02
176,03:30:42
177,03:31:11
178,02:59:32
179,04:00:19
180,06:22:45
181,03:53:18
182,04:06:28
183,03:58:44
184,05:05:17
185,04:50:01
186,05:54:35
187,04:44:55
188,04:45:40
189,04:24:58
190,03:45:58
191,03:45:47
192,04:28:36
193,03:44:18
194,04:03:34
195,05:22:44
196,04:28:10
197,05:22:01
198,04:21:10
199,04:31:54
200,05:50:15
201,04:30:47
202,03:36:49
203,03:54:22
204,04:06:23
205,04:18:11
206,03:40:27
207,05:25:42
208,03:29:40
209,03:42:49
210,03:48:11
211,05:43:04
212,03:01:58
213,05:45:43
214,04:20:47
215,04:02:19
216,03:33:48
217,04:26:48
218,03:42:46
219,04:33:44
220,04:41:23
221,06:57:15
222,03:13:14
223,03:47:46
224,03:15:58
225,03:58:28
226,03:38:44
227,04:53:07
228,04:08:32
229,04:27:28
230,04:28:16
231,02:59:49
232,04:20:05
233,03:03:52
234,03:44:05
235,04:46:50
236,05:18:25
237,03:54:52
238,04:44:07
239,03:43:51
240,03:44:19
241,04:01:32
242,03:18:25
243,05:17:06
244,04:04:45
245,04:28:12
246,03:56:07
247,05:45:12
248,03:05:58
249,03:31:11
250,05:53:53
251,04:37:04
252,04:34:19
253,03:57:15
254,04:54:14
255,07:09:47
256,04:55:24
257,03:09:34
258,05:02:41
259,05:14:35
260,03:54:16
261,03:23:20
262,04:42:34
263,04:52:20
264,04:18:34
265,04:16:45
266,04:51:10
267,07:09:34
268,04:02:26
269,03:34:19
270,04:55:29
271,03:29:21
272,03:54:06
273,03:31:16
274,04:49:30
275,03:47:51
276,05:03:16
277,04:14:25
278,03:57:04
279,05:42:18
280,04:23:36
281,03:49:05
282,05:17:08
283,03:39:30
284,05:38:28
285,04:30:19
286,04:38:44
287,05:38:21
288,04:47:28
289,04:28:27
290,05:31:44
291,05:21:35
292,04:36:18
293,04:21:17
294,04:28:01
295,03:59:18
296,03:42:21
297,04:47:32
298,04:49:34
299,03:54:34
300,04:46:58
301,05:15:11
302,05:03:20
303,04:08:17
304,05:24:52
305,04:17:07
306,05:08:25
307,03:50:39
308,04:19:01
309,04:48:47
310,05:37:48
311,04:59:40
312,03:24:46
313,03:18:16
314,04:41:44
315,03:36:12
316,03:53:58
317,04:02:51
318,05:36:10
319,05:49:33
320,05:37:57
321,04:30:03
322,04:11:53
323,03:42:57
324,03:33:19
325,04:50:07
326,05:33:43
327,04:51:42
328,06:52:09
329,05:17:36
330,04:20:18
331,04:03:47
332,04:19:15
333,03:54:41
334,03:44:53
335,05:15:01
336,03:49:48
337,04:26:50
338,02:56:24
339,04:32:24
340,03:38:17
341,04:46:00
342,04:02:16
343,03:58:32
344,05:52:24
345,06:27:16
346,05:10:29
347,04:35:50
348,04:13:49
349,05:26:26
350,04:35:53
351,03:18:41
352,03:21:38
353,04:20:50
354,03:45:30
355,03:40:58
356,05:25:12
357,04:32:30
358,05:25:15
359,04:54:53
360,03:40:42
361,03:57:40
362,05:10:57
363,03:47:13
364,04:18:02
365,04:24:56
366,03:10:51
367,05:58:57
368,04:42:41
369,04:11:03
370,03:48:40
371,03:19:03
372,04:59:24
373,03:52:44
374,03:57:48
375,04:40:03
376,04:49:05
377,05:16:43
378,04:51:44
379,03:22:45
380,04:35:17
381,05:33:19
382,03:10:47
383,04:02:41
384,05:16:56
385,04:13:50
386,03:40:17
387,04:39:42
388,03:45:55
389,04:54:50
390,04:15:00
391,02:58:35
392,04:42:59
393,03:21:23
394,03:28:57
395,04:27:10
